Key,T1,T2,T3,T4
0_0,0.46654408962536087,0.4537443473690214,0.4708995853157683,0.5255522751441616
1_0,0.3209149298471274,0.5568597537794927,0.5308016754965545,0.4926166220823939
2_0,0.3189228076496866,0.5625246911585925,0.5207289122176524,0.5112714775736719
3_0,0.5532863316309979,0.3919746626618463,0.45865161100194884,0.5111537506221121
4_0,0.5876279577962403,0.3828705120223048,0.4334786092790491,0.5034189531383955
5_0,0.46883633530201063,0.5010549359243006,0.503922399927594,0.4916833000897651
6_0,0.4664818848634238,0.4816976054565377,0.525639296326551,0.4701781245525907
7_0,0.4956117039296111,0.5134926454997543,0.4866137117124312,0.45740309231151943
8_0,0.49197461521977603,0.5118416146324497,0.48359586285180156,0.4738038617534142
9_0,0.5281704023845052,0.4827876920594167,0.4881472898278531,0.47857891524199264
10_0,0.527379827321362,0.4656713352753308,0.5076744927290631,0.4576465491180073
11_0,0.47289776615046736,0.5036612413610025,0.48207656072258315,0.4611480528663736
12_0,0.47808640611863673,0.49691851742062315,0.4813218098529369,0.47179524336738843
