ARI,AMI,NMI,homogeneity,completeness,V_measure,purity,inv_purity,n_pred,n_true,patient,timepoint,n_cells,annotation,resolution
0.6920765116676822,0.7770326781329274,0.7778783540310262,0.802852169706887,0.754411356165731,0.7778783540310261,0.8682219419924337,0.7764817150063051,8,7,P1,0,3172,mye_sub,0.5
0.9198897812870994,0.9147176604627125,0.9150205646595145,0.8576055026006714,0.9806748887345064,0.9150205646595145,0.9377806286080821,0.9929441949967928,4,6,P1,1,1559,mye_sub,0.5
0.7586159128332216,0.8209966908072511,0.821595592048043,0.9452923802090596,0.7265256522295239,0.821595592048043,0.9749192947603675,0.8073007201390613,9,6,P1,2,4027,mye_sub,0.5
0.15696527280595265,0.4037481401673122,0.4089595513146341,0.8830119893941865,0.2661009895162675,0.4089595513146341,0.97514033680834,0.48516439454691257,8,4,P3,0,1247,mye_sub,0.5
0.334291576507284,0.6465889769683772,0.6480335938432966,0.8573276322094745,0.5208755099659906,0.6480335938432965,0.9135359116022099,0.5930939226519337,8,7,P3,1,3620,mye_sub,0.5
0.38942993652953617,0.683356080580244,0.6845311335822802,0.8634627530753585,0.5670283270163625,0.6845311335822802,0.9050392504431501,0.6350974930362117,8,7,P3,2,3949,mye_sub,0.5
0.8411314483286293,0.8483663340526096,0.8487281446600273,0.8468344568603089,0.8506303207552907,0.8487281446600274,0.9078085642317381,0.929471032745592,7,6,P4,0,3970,mye_sub,0.5
0.923627019271618,0.9235920431632276,0.923704708441168,0.9239698400940197,0.9234397289028663,0.9237047084411681,0.9691411935953421,0.9691411935953421,5,5,P4,1,3435,mye_sub,0.5
0.9022210202996899,0.9008549024001485,0.9011164630421896,0.9028093436666943,0.899429919261823,0.9011164630421897,0.9494264859228363,0.9494264859228363,5,5,P4,2,1918,mye_sub,0.5
0.8619055098924142,0.8611075166187656,0.8615555653330296,0.9092140827549763,0.8186444600168075,0.8615555653330296,0.9608772969768821,0.916419679905157,8,6,P4,3,3374,mye_sub,0.5
0.451789776829081,0.608816913767008,0.6096681128353321,0.6613666264458679,0.5654660708916832,0.6096681128353321,0.8119365308330329,0.7302560403894699,7,7,P5,0,5546,mye_sub,0.5
0.4896181628379463,0.685598856977176,0.686553225699814,0.8518890556287659,0.5749634986167589,0.686553225699814,0.9161129568106312,0.637250830564784,10,6,P5,1,4816,mye_sub,0.5
0.8576833086087443,0.8236173814761522,0.8245115978875471,0.8150233742103089,0.8342233410188769,0.8245115978875471,0.9121522693997072,0.91800878477306,6,7,P5,2,2049,mye_sub,0.5
0.9391324050408125,0.9331148563035565,0.9333945877111959,0.9409848911007757,0.9259257564112942,0.9333945877111957,0.979449889345558,0.9690167562440721,8,7,P6,0,3163,mye_sub,0.5
0.9432369658993515,0.9272779668375248,0.9275941093736304,0.9243258721128083,0.9308855403508691,0.9275941093736304,0.9719626168224299,0.9660436137071651,8,7,P6,1,3210,mye_sub,0.5
0.9312367176247438,0.9091859251977829,0.9094687821418737,0.8995122027225869,0.9196482446977189,0.9094687821418737,0.961640916355887,0.961640916355887,7,7,P6,2,3754,mye_sub,0.5
0.8813258924993086,0.8870188267195461,0.8874737275054918,0.9248274957998974,0.8530202526544541,0.8874737275054918,0.9729070051257017,0.9331217964364169,10,7,P6,3,4097,mye_sub,0.5
0.6862447594823372,0.7960952819751971,0.7968801840764069,0.8728215107777578,0.7330959210233006,0.796880184076407,0.9355322338830585,0.8299850074962519,7,7,P7,0,3335,mye_sub,0.5
0.7698981929319331,0.7971134278885531,0.7978806478206347,0.9003503765419496,0.7163519537856226,0.7978806478206348,0.950855880728879,0.8586416344561016,7,7,P7,1,3622,mye_sub,0.5
0.7700757485707168,0.8222830045543346,0.8228138879694368,0.8628561205769253,0.7863232852581316,0.8228138879694368,0.9236510983152058,0.8116869268500746,9,7,P7,2,4689,mye_sub,0.5
0.8295605615722569,0.8366951507818845,0.837255182615201,0.9215892379128011,0.7670618335343544,0.837255182615201,0.9682458386683739,0.8565941101152369,10,6,P8,0,3905,mye_sub,0.5
0.8741819041141684,0.8690639440144063,0.8694267841691935,0.9072310128652231,0.8346471193083509,0.8694267841691934,0.9631058596575838,0.9074029418857005,7,7,P8,1,4147,mye_sub,0.5
0.87279782165154,0.8939218911596527,0.8942748275752038,0.9219373498851233,0.8682239633182238,0.8942748275752038,0.9728303877604854,0.9219203376417832,8,7,P8,2,3791,mye_sub,0.5
