patient,GED,norm_GED,f1,precision,recall,n_pred,n_ref,n_correct,rand_GED,rand_f1
P1,6.0,0.17647058823529413,0.6,0.6666666666666666,0.5454545454545454,9,11,6,4.625,0.54
P3,4.0,0.11764705882352941,0.5,0.5555555555555556,0.45454545454545453,9,11,5,4.68,0.537
P4,6.0,0.1875,0.5555555555555556,0.7142857142857143,0.45454545454545453,7,11,5,5.42,0.48055555555555557
P5,4.0,0.11428571428571428,0.380952380952381,0.4,0.36363636363636365,10,11,4,5.315,0.36095238095238097
P6,3.0,0.08571428571428572,0.761904761904762,0.8,0.7272727272727273,10,11,8,3.65,0.6947619047619048
P7,5.0,0.15151515151515152,0.4210526315789474,0.5,0.36363636363636365,8,11,4,5.39,0.45736842105263165
P8,2.0,0.058823529411764705,0.7999999999999999,0.8888888888888888,0.7272727272727273,9,11,8,3.23,0.7230000000000001
