dataset,method,n_modules,frac_sig,mean_logp,mean_nsig
MND,GTra,15,0.6666666666666666,3.0090911324694534,19.666666666666668
MND,baseline,12,0.6666666666666666,1.8847401093046638,27.583333333333332
HSPC,GTra,30,0.6,2.170468472252145,20.866666666666667
HSPC,baseline,30,0.6,4.022625770924945,20.0
COVID,GTra,30,0.9,4.861708854679626,45.36666666666667
COVID,baseline,26,0.8846153846153846,6.349940250073095,47.34615384615385
