regime,timepoint,cluster,refK,PAC,ARI,ARI_std,AMI,module_jaccard,core_frac,n_valid_runs
annotation,11,0,8,0.3433096548274137,0.46242717751875595,0.07051694072466375,0.4679133065541519,0.41304090970908336,0.344,50
annotation,11,1,11,0.3860435217608804,0.33941370467842225,0.04036184235194302,0.4231867788177914,0.30846401361009224,0.1955,50
annotation,11,2,6,0.3638214107053527,0.4846521197169443,0.038705090304921044,0.4908194774590406,0.5011742273918849,0.4315,50
annotation,11,3,12,0.32947573786893447,0.3811116689737472,0.07756739656403949,0.4847378926125201,0.4212469057057955,0.2035,50
annotation,11,4,7,0.35865782891445724,0.46077480354477324,0.03852722391661676,0.45494253324070444,0.4271989342736254,0.341,50
annotation,11,5,9,0.3998544272136068,0.42821173773547094,0.08528310853332659,0.4409353027883342,0.3786357321893972,0.2425,50
annotation,11,6,6,0.46666733366683344,0.5297316271092251,0.08706634325254009,0.4789583319224828,0.36694190368871865,0.362,50
annotation,13,0,10,0.27486743371685846,0.44422491917839224,0.039266888337776786,0.4806568893034146,0.41860454697850247,0.283,50
annotation,13,1,7,0.3478994497248624,0.41226531561644114,0.05860423704935668,0.49180760559718784,0.5237685102125187,0.3625,50
annotation,13,2,11,0.282224112056028,0.4442122686907482,0.062336152625747605,0.4753203908692089,0.3958416917518065,0.2155,50
annotation,13,3,11,0.3538254127063532,0.3975605812378007,0.05788824942531398,0.42250620761039576,0.37173877202687067,0.2335,50
annotation,13,4,9,0.3293401700850425,0.4633413068014227,0.06587622760198916,0.44458944130917977,0.36307931699064155,0.3015,50
annotation,13,5,15,0.3816608304152076,0.3352812397033344,0.048456442110011065,0.4615662440654973,0.31237301709136184,0.1225,50
annotation,13,6,8,0.4039794897448724,0.4747146178560279,0.052834458808797974,0.5026790883047527,0.399676338973187,0.296,50
annotation,15,0,10,0.2768554277138569,0.5172130332947318,0.029463552791156544,0.44836742308918814,0.38680921932285933,0.3605,50
annotation,15,1,7,0.37235167583791895,0.44961077027500634,0.04100317251647426,0.43024762784331505,0.4431429432703214,0.353,50
annotation,15,2,12,0.2975102551275638,0.41348719726535593,0.04736713232049225,0.4399588722684342,0.40294763115305265,0.305,50
annotation,15,3,10,0.2988899449724862,0.4826278833926039,0.038800407004614304,0.4459883454103892,0.3827965597116732,0.3205,50
annotation,15,4,8,0.3534787393696848,0.46595667029680293,0.06480495072641484,0.4755782776388685,0.4495276240603658,0.334,50
annotation,15,5,11,0.3953536768384192,0.3671985870041533,0.04019813392971137,0.48295426481225384,0.4136596686888923,0.2705,50
annotation,15,6,7,0.4186498249124562,0.5613713545475707,0.07407981647145243,0.4838462568937962,0.3914540876057525,0.359,50
annotation,17,0,12,0.27524662331165584,0.44561120136309884,0.03634008844050577,0.42362171263705306,0.35945485349455686,0.29,50
annotation,17,1,9,0.3314987493746873,0.37847979805155985,0.036576670258504286,0.4244807502851416,0.38000128140408884,0.2685,50
annotation,17,2,12,0.27284442221110555,0.4543776937521088,0.06467647987070957,0.4918956901852619,0.39259054958996786,0.249,50
annotation,17,3,11,0.3111075537768884,0.49413054772574055,0.073427429468051,0.500501432594773,0.4146881406312113,0.349,50
annotation,17,4,12,0.07809004502251125,0.9113171733519585,0.03963464517155892,0.9090406331361786,0.8667663841989518,0.8415,50
annotation,17,5,11,0.37014907453726864,0.512744757698228,0.09294687282552094,0.4895109210228091,0.3592513289551899,0.289,50
leiden,11,0,6,0.4022871435717859,0.4208062043406041,0.03903156176199972,0.3817377336233003,0.392848239799981,0.3295,50
leiden,11,1,9,0.408655827913957,0.33050087290695773,0.0852673190841774,0.3459900391943595,0.310998498119991,0.155,50
leiden,11,2,11,0.4293646823411706,0.27764193884745736,0.11422149870344904,0.3518961713916538,0.31267017958820476,0.168,50
leiden,11,3,9,0.3963821910955478,0.34572476159458093,0.11545929208550118,0.3178458725518232,0.28225418223121723,0.244,50
leiden,11,4,8,0.46607153576788396,0.36874444021360175,0.048752896556703,0.37791079249820864,0.35036478000067217,0.244,19
leiden,13,0,10,0.3333271635817909,0.4006487411374324,0.0794069642848068,0.37246402433836606,0.34405572670871143,0.248,50
leiden,13,1,7,0.38111155577788897,0.4006818258074547,0.0648205246846244,0.43456189815088836,0.46121867587730314,0.295,50
leiden,13,2,9,0.3442386193096548,0.35714056586294207,0.05020488274234239,0.38040013013419127,0.359382606271931,0.275,50
leiden,13,3,9,0.4657103551775888,0.2798597051731874,0.06883878034722024,0.26658000862381215,0.26377285680449764,0.1885,49
leiden,13,4,6,0.0,0.05353339277752817,,0.05480631927283651,0.1432041765828879,0.284,1
leiden,15,0,9,0.41744272136068034,0.3919677062528189,0.07465031534690822,0.3424659414355731,0.33603922744828646,0.266,49
leiden,15,1,10,0.33109554777388694,0.41978950610510507,0.05676404834018734,0.38397919212983167,0.3533401170920162,0.2885,50
leiden,15,2,8,0.367311655827914,0.41562107630497264,0.05814997935533308,0.39560265004715073,0.3819604684981311,0.326,50
leiden,15,3,7,0.4696463231615808,0.3818465191979327,0.06211192212934235,0.3424963319475198,0.35226308875436957,0.3,45
leiden,15,4,10,0.3277463731865933,0.3460582061180106,0.052405995662279735,0.404355243318179,0.39788467904433594,0.2745,50
leiden,15,5,11,0.4333976988494247,0.27861503920849107,0.061066554489560367,0.3160282370727696,0.26377989190931495,0.199,40
leiden,17,0,11,0.381751875937969,0.32662108099612863,0.046260537196093326,0.29599543578994647,0.275594912883774,0.221,50
leiden,17,1,8,0.4814992496248124,0.2591030813598352,0.07715295967953824,0.2994441556470006,0.29751869462008657,0.1135,48
leiden,17,2,10,0.5025927963981991,0.2901921525117231,0.09650210062609023,0.2831954319057634,0.24532796098939544,0.1365,39
leiden,17,3,9,0.48742121060530263,0.34077387791465946,0.06526853510569357,0.33841807431517684,0.2742319561435312,0.1705,48
leiden,17,4,12,0.27793046523261633,0.38894484630174686,0.058107475827159465,0.41460146355984223,0.32661867063801836,0.232,50
