ARI,AMI,NMI,homogeneity,completeness,V_measure,purity,inv_purity,n_pred,n_true,resolution,timepoint
0.7154053621297707,0.5973597331355929,0.5979004320221549,0.5012105622274221,0.7408125648348819,0.597900432022155,0.7796005706134094,0.9572039942938659,2,4,0.2,11
0.3737457598527146,0.5017013798839521,0.5028308689137043,0.42724079657364816,0.6109182952622189,0.5028308689137043,0.6217891939769707,0.8573959255978743,3,4,0.2,13
0.45964576013126784,0.5821392320189125,0.5826465549894967,0.5656139187206879,0.6007368675135683,0.5826465549894966,0.7347707049965777,0.7748117727583846,4,4,0.2,15
0.21804786104455795,0.37099485967381457,0.373523566032665,0.27289768505721934,0.5917028443972524,0.373523566032665,0.6465816917728853,0.8910776361529548,3,4,0.2,17
0.6974831808436985,0.5818955766927097,0.5830626813160306,0.4979924678677911,0.7031852133965123,0.5830626813160306,0.7781740370898717,0.9507845934379457,3,4,0.3,11
0.5061052622903705,0.5690888567038666,0.5700395058618545,0.4974159901723043,0.6674947939952666,0.5700395058618546,0.66696191319752,0.9016829052258636,3,4,0.3,13
0.35497945904478095,0.48945649729607305,0.49024936237084255,0.49830127156728876,0.48245353230718674,0.4902493623708425,0.6735112936344969,0.661533196440794,5,4,0.3,15
0.251080722997994,0.39774758710278674,0.4012918129422808,0.31089644696931257,0.565803116601036,0.40129181294228083,0.6685979142526072,0.8736964078794901,4,4,0.3,17
0.29940782341520156,0.46780296632196905,0.4696756202461543,0.6042716594818087,0.3841170306361148,0.4696756202461543,0.8202567760342369,0.6212553495007133,5,4,0.5,11
0.4759893412170878,0.5677544177412454,0.5693980213252537,0.5811046554020594,0.5581537444398191,0.5693980213252536,0.7581930912311781,0.733392382639504,5,4,0.5,13
0.4934400866193879,0.56882863858385,0.5695799755564064,0.6438724960033697,0.5106582361080584,0.5695799755564064,0.8271731690622861,0.688911704312115,6,4,0.5,15
0.5484735342737952,0.5439553957170198,0.5464255275328044,0.588415525884015,0.5100292617672136,0.5464255275328045,0.8354577056778679,0.7358053302433372,5,4,0.5,17
0.17147731030983462,0.4272166286436663,0.4298579992706671,0.63660108148951,0.32447970709767937,0.4298579992706671,0.8530670470756063,0.47289586305278175,7,4,0.8,11
0.4999674433091606,0.5624189389827159,0.56460158836088,0.658175051238587,0.4943231311679361,0.56460158836088,0.8219663418954827,0.6395039858281665,7,4,0.8,13
0.4700991965542628,0.5457755653881454,0.546679326105243,0.6493220743934245,0.4720579252481284,0.5466793261052431,0.8292265571526352,0.6430527036276523,7,4,0.8,15
0.3624639720207485,0.4383359498519872,0.44235983883673874,0.5454290965000175,0.3720532606993493,0.4423598388367388,0.7844727694090382,0.6095017381228274,7,4,0.8,17
0.13549407768191493,0.3980095743966749,0.40142513097321547,0.6455906244675377,0.2912666693156362,0.40142513097321547,0.8523537803138374,0.3830242510699001,9,4,1.0,11
0.49225395014437856,0.5559405530078254,0.5581633206664566,0.6485225901299456,0.48990446542200944,0.5581633206664566,0.7980513728963685,0.6439326837909655,7,4,1.0,13
0.39572937419535226,0.5180018230585889,0.5192069715586517,0.6583204072295508,0.4286305980063397,0.5192069715586517,0.8261464750171116,0.527378507871321,9,4,1.0,15
0.28926614114546395,0.4518075019987576,0.4569877447580189,0.6423633009553332,0.3546434405999607,0.45698774475801895,0.828505214368482,0.507531865585168,10,4,1.0,17
