ARI,AMI,NMI,homogeneity,completeness,V_measure,purity,inv_purity,n_pred,n_true,timepoint,annotation,n_cells,resolution
0.27833005901772323,0.38262935394789543,0.3845312969353809,0.4413350758578668,0.3406824171094427,0.38453129693538085,0.6303153022852184,0.48481342204223316,9,6,24h,celltype,3457,0.5
0.4343204340229787,0.46339624694485526,0.46661512211853606,0.5112275477340462,0.42916399693021845,0.46661512211853606,0.7095410628019324,0.6171497584541062,8,6,3h,celltype,1656,0.5
0.37923356008342735,0.42326180420783494,0.42587400114028884,0.4707472265132534,0.38881119658367014,0.4258740011402889,0.6782786885245902,0.6040983606557377,9,6,72h,celltype,2440,0.5
0.32181584704988875,0.4826213654058316,0.4849560216191793,0.5605830325536755,0.4273087481673805,0.48495602161917933,0.7106995884773663,0.4823045267489712,9,6,control,celltype,2430,0.5
