,GED,norm_GED,f1,precision,recall,trans_f1,trans_precision,trans_recall,rand_trans_f1,n_pred,n_ref,edges
labeled,7.0,0.1794871794871795,0.6666666666666666,0.5625,0.8181818181818182,0.4,0.3,0.6,0.2152,16,11,"[('EryP', 'EryP'), ('EryP', 'LMPPs'), ('HSCs', 'HSCs'), ('HSCs', 'LMPPs'), ('HSCs', 'MKP'), ('LMPPs', 'LMPPs'), ('LMPPs', 'MKP'), ('MKP', 'EryP'), ('MKP', 'LMPPs'), ('MKP', 'MKP'), ('MYP', 'EryP'), ('MYP', 'MKP'), ('MYP', 'MYP'), ('eosiP', 'LMPPs'), ('eosiP', 'MKP'), ('eosiP', 'eosiP')]"
unlabeled,9.0,0.3333333333333333,0.26666666666666666,0.5,0.18181818181818182,0.25,0.3333333333333333,0.2,0.125,4,11,"[('EryP', 'EryP'), ('EryP', 'eosiP'), ('MYP', 'EryP'), ('eosiP', 'EryP')]"
