N,n_connections,coverage_of_100,jaccard_vs_100
10,77,0.9722222222222222,0.8860759493670886
20,73,0.9722222222222222,0.9333333333333333
30,72,0.9722222222222222,0.9459459459459459
40,72,0.9861111111111112,0.9726027397260274
50,71,0.9722222222222222,0.958904109589041
60,70,0.9583333333333334,0.9452054794520548
70,70,0.9722222222222222,0.9722222222222222
80,71,0.9861111111111112,0.9861111111111112
90,71,0.9861111111111112,0.9861111111111112
100,72,1.0,1.0
