dataset,timepoint,ARI_leiden_vs_annot,ARI_louvain_vs_annot,purity_leiden,purity_louvain,ARI_leiden_vs_louvain
MND,11,0.3598560873504297,0.32787131895483335,0.6804564907275321,0.5898716119828816,0.6039196190338088
MND,13,0.47233123724814247,0.4306565050358712,0.6820194862710364,0.5739592559787422,0.5221646214437651
MND,15,0.5317708475995444,0.5330736871385473,0.7922655715263518,0.7932922655715263,0.8583362886316256
MND,17,0.5690490017721341,0.5004214865892361,0.7705677867902665,0.7288528389339514,0.6832707990159533
HSPC,24h,0.27833005901772323,0.3240468972904313,0.6303153022852184,0.6083309227654036,0.7009833279739406
HSPC,3h,0.4343204340229787,0.37474217633143553,0.7095410628019324,0.6805555555555556,0.7750892050216894
HSPC,72h,0.37923356008342735,0.388617531724629,0.6782786885245902,0.6762295081967213,0.8595920663206
HSPC,control,0.32181584704988875,0.29089775919581884,0.7106995884773663,0.7222222222222222,0.7944692451360428
