method,n_modules,IFN_recovery,GO_coherence
GTra,37,3.2059779505919903,15.765322027289253
k-means,37,23.570399737197747,12.609956472375538
spherical k-means,37,23.570399737197747,12.609956472375538
STEM-like,10,8.1477125841308,17.557681433577066
