trajectory,path,n_genes,tr_length,coherence,modulation,go_coherence,program_recovery_IFN,importance
EryP->MKP->EryP->EryP[1_4],EryP->MKP->EryP->EryP,343,2,0.9582859584022744,0.9789828703830757,0.9739165253040973,1.8891343163012553,0.7544306369411626
MKP->LMPPs->MKP->MKP[43_3],MKP->LMPPs->MKP->MKP,417,2,0.7607485432902336,0.8725377857765036,1.2510786159381813,0.6331124495421716,0.5095514775133132
EryP->MKP->MKP->MKP[4_0],EryP->MKP->MKP->MKP,803,2,0.094708731507771,0.3095740725623038,8.271551728523246,1.6338618111979475,0.4525002562880962
MKP->LMPPs->LMPPs->MKP[42_0],MKP->LMPPs->LMPPs->MKP,412,2,,0.7165737406023123,5.134726234038892,0.3496313826871312,0.4203724092981535
EryP->MKP->LMPPs->MKP[5_0],EryP->MKP->LMPPs->MKP,575,3,0.057249498185971776,0.24267068308570588,11.842147640319382,0.9869699155046717,0.4173249721037629
EryP->EryP->EryP->MKP[2_2],EryP->EryP->EryP->MKP,425,2,,0.8793369500848083,2.1823611680519504,0.4580010178622383,0.4162421264470617
MKP->MKP->MKP->MKP[39_0],MKP->MKP->MKP->MKP,990,1,0.4465451475552275,0.6686584602256301,4.2553694897100245,0.477117308309311,0.4112441587116513
MKP->MKP->EryP->EryP[37_3],MKP->MKP->EryP->EryP,493,2,,0.7639329656151573,0.913187724761652,0.8936740302755448,0.4083006027859139
EryP->MKP->EryP->MKP[6_0],EryP->MKP->EryP->MKP,837,2,0.14067037516614753,0.3764266701617393,7.602363535909712,1.003555573372841,0.38646739516548306
EryP->EryP->EryP->EryP[0_4],EryP->EryP->EryP->EryP,555,1,0.5386507959259826,0.7344943432295151,1.080995289592361,0.4834535449688002,0.3848602342318571
EryP->MKP->EryP->EryP[1_0],EryP->MKP->EryP->EryP,364,2,0.5771567934869758,0.7604724234140473,0.8708325344348709,0.34358305246966087,0.37973896194671025
EryP->MKP->MKP->MKP[4_2],EryP->MKP->MKP->MKP,754,2,,0.7896380279691254,1.1153704964090392,0.5553812698897796,0.3650757199697856
EryP->EryP->MKP->MKP[3_1],EryP->EryP->MKP->MKP,542,2,,0.8667397847820523,1.2042294825754358,0.34358305246966087,0.3615008899162022
MKP->MKP->EryP->MKP[41_4],MKP->MKP->EryP->MKP,527,2,,0.8168550115005121,0.8706468838849999,0.5021357579365544,0.3592930999602057
EryP->MKP->EryP->MKP[6_1],EryP->MKP->EryP->MKP,591,2,,0.8333428358531054,1.0732376456977701,0.34358305246966087,0.34407500540407016
EryP->EryP->EryP->EryP[0_2],EryP->EryP->EryP->EryP,430,1,0.4538650119490856,0.6746369997751654,1.0469360636979346,0.34358305246966087,0.324840464100656
LMPPs->LMPPs->LMPPs->LMPPs[33_2],LMPPs->LMPPs->LMPPs->LMPPs,382,1,0.28782028096972523,0.5382235764681523,3.7568846203178237,0.42021245697283843,0.3106183832853179
eosiP->MKP->MKP->MKP[59_2],eosiP->MKP->MKP->MKP,518,2,,0.6848414108536022,1.5195865580692898,0.3559291864275503,0.2997631437290562
EryP->MKP->EryP->EryP[1_1],EryP->MKP->EryP->EryP,455,2,0.31381412510338696,0.5615355392090837,0.7778286026444929,0.5948898111734531,0.28041415851789303
EryP->MKP->LMPPs->LMPPs[10_0],EryP->MKP->LMPPs->LMPPs,381,3,0.19624567983927274,0.4453709310650681,4.21721723278404,0.34358305246966087,0.2583392245637245
MYP->EryP->MKP->MKP[53_0],MYP->EryP->MKP->MKP,450,3,0.17807071592680476,0.4241429172601565,2.885173563083802,0.45612501286348284,0.23185977876312802
EryP->EryP->MKP->MKP[3_0],EryP->EryP->MKP->MKP,637,2,0.09125907926417337,0.3044432170354962,5.159263299193025,0.4271613169281663,0.2200144724986432
eosiP->MKP->MKP->MKP[59_0],eosiP->MKP->MKP->MKP,420,2,0.14521505276920238,0.38373201338756263,2.4287624416339613,0.5703216196827161,0.21566066874983109
EryP->EryP->EryP->MKP[2_0],EryP->EryP->EryP->MKP,749,2,0.14358352936108412,0.38042992868603787,1.305065857326563,0.5449997969237506,0.18548471979575007
eosiP->MKP->EryP->EryP[57_4],eosiP->MKP->EryP->EryP,376,3,,0.25943688359931816,1.4580413442073052,0.6866601845290985,0.18456603498796528
MKP->MKP->MKP->LMPPs[46_0],MKP->MKP->MKP->LMPPs,509,2,0.1681112306392631,0.4120019049934953,1.932436912758147,-0.0,0.14363849188914105
EryP->EryP->MKP->LMPPs[8_4],EryP->EryP->MKP->LMPPs,511,3,0.10412583477481716,0.32539053831221326,1.2204053033356173,0.34358305246966087,0.12972881397070377
EryP->MKP->MKP->LMPPs[9_0],EryP->MKP->MKP->LMPPs,677,3,0.06515007322830463,0.2579359235888486,0.8033092918310958,0.3472337979508113,0.08996958838065797
MKP->LMPPs->MKP->LMPPs[49_3],MKP->LMPPs->MKP->LMPPs,419,2,0.04200602538989499,0.21045760718731668,1.2169064155859004,0.34358305246966087,0.07828470451318761
MKP->LMPPs->MKP->MKP[43_4],MKP->LMPPs->MKP->MKP,447,2,0.021254120045049632,0.1531133666984142,1.7155070715425844,-0.0,0.021186990037641195
