dataset,mode,GED,f1,trans_f1,trans_recall,trans_precision,rand_trans_f1
MND,labeled,2.0,0.75,0.5,0.5,0.5,0.3065
MND,unlabeled,3.0,0.4615384615384615,0.2857142857142857,0.25,0.3333333333333333,0.3045714285714285
HSPC,labeled,7.0,0.6666666666666666,0.4,0.6,0.3,0.2152
HSPC,unlabeled,9.0,0.2666666666666666,0.25,0.2,0.3333333333333333,0.125
COVID,labeled,6.142857142857143,0.6481835551786289,0.32984792984792977,0.5357142857142857,0.24254792826221397,0.12572636252636246
COVID,unlabeled,4.714285714285714,0.5742093328559494,0.1909400123685838,0.17857142857142858,0.22278911564625847,0.08941372912801483
