,1-Neurons->1-Neurons->1-Neurons->1-Neurons[0_0],1-Neurons->2-Young neurons->1-Neurons->1-Neurons[1_0],1-Neurons->2-Young neurons->2-Young neurons->1-Neurons[2_0],1-Neurons->2-Young neurons->2-Young neurons->2-Young neurons[3_0],1-Neurons->1-Neurons->3-APs/RPs->1-Neurons[4_0],1-Neurons->1-Neurons->3-APs/RPs->3-APs/RPs[5_0],2-Young neurons->1-Neurons->1-Neurons->1-Neurons[6_0],2-Young neurons->2-Young neurons->1-Neurons->1-Neurons[7_0],2-Young neurons->2-Young neurons->2-Young neurons->1-Neurons[8_0],2-Young neurons->2-Young neurons->2-Young neurons->2-Young neurons[9_0],2-Young neurons->1-Neurons->3-APs/RPs->1-Neurons[10_0],2-Young neurons->1-Neurons->3-APs/RPs->3-APs/RPs[11_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[12_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[14_0],3-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[15_0],3-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[16_0],3-APs/RPs->5-APs/RPs->5-APs/RPs->5-APs/RPs[17_0],4-IPs->4-IPs->4-IPs->1-Neurons[18_0],4-IPs->4-IPs->3-APs/RPs->1-Neurons[19_0],4-IPs->4-IPs->3-APs/RPs->3-APs/RPs[20_0],4-IPs->4-IPs->4-IPs->4-IPs[21_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->1-Neurons[22_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->1-Neurons[23_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->3-APs/RPs[24_0],5-APs/RPs->5-APs/RPs->3-APs/RPs->3-APs/RPs[25_0],5-APs/RPs->3-APs/RPs->3-APs/RPs->3-APs/RPs[26_0],5-APs/RPs->5-APs/RPs->5-APs/RPs->5-APs/RPs[27_0],6-Young neurons->1-Neurons->1-Neurons->1-Neurons[28_0],6-Young neurons->2-Young neurons->1-Neurons->1-Neurons[29_0],6-Young neurons->2-Young neurons->2-Young neurons->1-Neurons[30_0],6-Young neurons->2-Young neurons->2-Young neurons->2-Young neurons[31_0],7-IPs->4-IPs->4-IPs->1-Neurons[32_0],7-IPs->4-IPs->3-APs/RPs->1-Neurons[33_0],7-IPs->4-IPs->3-APs/RPs->3-APs/RPs[34_0],7-IPs->4-IPs->4-IPs->4-IPs[35_0]
19,Tmsb4x,Clvs1,Dync1h1,2700049A03Rik,Rtn1,Stmn3,Kif5c,Cdk5rap2,Btg2,Tmem87b,Dcx,Rtn1,Ercc6,Trio,Trmt13,9930021J03Rik,Jun,Rtn1,Cntn2,Mycbp2,Syne2,A230046K03Rik,Bod1l,Sdccag8,Ankib1,Trio,Jun,Poc1b,Htatsf1,Htatsf1,Stmn2,Tomm34,Bod1l,Madd,Zdhhc17
20,Map2,Exog,2700049A03Rik,Pcnt,Stmn2,Gm26735,Hist3h2ba,Cenpj,Tada2a,Golga3,Nsg2,Stmn2,L3mbtl3,Btg2,Tbce,Ap3b1,Vim,Stmn2,Stmn3,Aplp1,Ckb,Rai14,Ccdc41,Numa1,Slk,Btg2,Vim,Dennd5b,Gap43,Gap43,Stmn3,Dennd5b,Ccdc41,A230046K03Rik,Hectd1
21,Arl6ip1,Fktn,Pcnt,Dus3l,Stmn3,Aplp1,mt-Nd5,Dvl1,Lrp8,Exog,Olfm1,mt-Rnr1,D14Abb1e,Poc1b,2210018M11Rik,Mast2,Paics,Celf4,Aplp1,Lmo4,,Fam214b,Trmt13,Arhgef25,5830428H23Rik,Asxl3,Paics,BC005561,Rtn1,Rtn1,Celf2,Fam63a,Fsd1l,Flywch2,Hes5
22,Dcx,Sox2,Ccdc50,Clvs1,Gm26735,Sox4,Tmsb4x,Tet1,Pcnt,Gpcpd1,Gpm6a,Stmn3,Tomm34,Pcnt,Pard3,Slc4a1ap,Tmsb4x,Cntn2,Celf2,Tubb3,,Rrnad1,2210018M11Rik,Ubr1,,Ckap4,Tmsb4x,Rock2,Stmn2,Stmn2,Tubb2a,Dus3l,2210018M11Rik,Gfod2,Rrbp1
23,Nsg2,Pcna,Dus3l,Exog,Aplp1,Tubb3,Arl6ip1,Mcm6,Cntln,Fktn,Gap43,Mycbp2,Golga3,Tmem87b,Mllt6,Zfp40,Lig1,Stmn3,Lmo4,Igfbpl1,,Ercc6,Pard3,A230046K03Rik,,Dzip1,Lig1,Ubp1,Stmn3,Stmn3,Lmo4,BC005561,Rasal2,Sgce,Ttyh1
24,Gap43,Dcaf8,Clvs1,Fktn,Celf2,Igfbpl1,Dcx,Smarca1,Tmem87b,Sec11c,Stmn4,Aplp1,Exog,Exog,Sdccag8,Tenm4,Id4,Aplp1,Tubb3,Nnat,,Gfod2,Dpy19l1,9930021J03Rik,,Asxl2,Id4,Gpcpd1,Celf2,Celf2,Tubb3,Golga3,Dpy19l1,Map3k7,Mysm1
25,Stmn4,Traf3ip1,Exog,Pcna,Sox4,Nnat,Nsg2,AI854517,Golga3,Traf3ip1,Rtn1,Tubb3,Fktn,Cwf19l2,Ubn2,Timp2,Ppap2b,Hsp90b1,Igfbpl1,Akap9,,Jarid2,Eif2s3y,Gfod2,,,Ppap2b,Sox2,Tubb2a,Tubb2a,Rbm25,Ubp1,Eif2s3y,Rsrc1,Rsf1
26,Rtn1,Mex3d,Fktn,Plcb1,Tubb3,Akap9,Olfm1,Gkap1,Exog,Cited2,Stmn2,Igfbpl1,Cwf19l2,Irak1,Mlh3,Flna,Hmgb2,Celf2,Nnat,Neurod6,,Rif1,Mllt6,Rif1,,,Hmgb2,Pcna,Lmo4,Lmo4,Ezh2,Exog,Mllt6,Rrbp1,Taf3
27,Stmn2,Cdk5rap2,Sox2,Cited2,Igfbpl1,Cmip,Gpm6a,Birc6,Gpcpd1,Cdk5rap2,mt-Rnr1,Nnat,Efnb3,Traf3ip1,Zfp609,Spen,Dbi,Lmo4,Akap9,Hist3h2a,,Map3k7,Mlh3,Chd9,,,Dbi,Klc4,Tubb3,Tubb3,Ckb,Gpcpd1,Ate1,Col11a1,Mt3
28,Celf4,Cenpj,Pcna,Traf3ip1,Nnat,Hist3h2a,Soga3,Cbfa2t2,Fktn,Cenpj,Stmn3,Cmip,Sacs,Fbxw7,N6amt1,Swt1,H2afv,Tubb3,Neurod6,Crmp1,,Ttc14,Zfp609,Map3k7,,,H2afv,Mex3d,Nnat,Igfbpl1,Crmp1,Fktn,Zfp609,Tbl1x,Tubgcp5
29,Stmn3,Gkap1,Dcaf8,Mex3d,Akap9,Crmp1,Htatsf1,Arhgap21,Sec11c,Gkap1,Aplp1,Hist3h2a,Irak1,2210018M11Rik,Hba-a1,Trio,Nes,Igfbpl1,Crmp1,Soga3,,Wnk3,Tox3,Ptprd,,,Nes,Miat,Rbm25,Nnat,Mtss1,2700050L05Rik,Hba-a1,Rwdd4a,Rapgef6
30,Gm26735,Ube4b,Plcb1,Cdk5rap2,Crmp1,Soga3,Gap43,Mllt6,Traf3ip1,Chd2,Tubb3,Crmp1,Sec11c,Numa1,Secisbp2l,Kmt2b,Sox9,Nnat,Soga3,,,D14Abb1e,N6amt1,Wnk3,,,Celf2,Lemd2,Ckb,Rbm25,,Efnb3,Secisbp2l,Sass6,Ankib1
31,Aplp1,Numa1,Fos,Cenpj,Soga3,,Stmn4,Eif2s3y,Cited2,Arhgef25,Igfbpl1,Soga3,Traf3ip1,Arhgef25,Setx,Btg2,Cpe,Akap9,Robo2,,,Rufy2,Secisbp2l,D14Abb1e,,,Sox9,Gkap1,Crmp1,Ezh2,,Irak1,Rnasel,Wnk3,Bms1
32,Celf2,Vps4b,Traf3ip1,Gkap1,,,Rtn1,Tfcp2,Cdk5rap2,Map7d2,Nnat,,Lemd2,Secisbp2l,Madd,Iqcb1,Smc4,Cpe,,,,Wdr60,Zfp101,Trip11,,,Cpe,Mllt10,Mtss1,Ckb,,Fos,A230046K03Rik,D14Abb1e,Rgcc
33,Tubb2a,Dnajc13,Cited2,Ube4b,,,Stmn2,Lig1,Cenpj,Suv420h1,Crmp1,,Cdk5rap2,Rufy1,Zfp101,Ttf1,Hspa5,Neurod6,,,,Ankib1,E4f1,Spen,,,Smc4,Peg3,,Crmp1,,Traf3ip1,Lhfpl4,Ankib1,Cep290
34,Sox4,Hectd1,Mex3d,Numa1,,,Celf4,Zfp946,Gkap1,St7,Soga3,,2210018M11Rik,Chd9,A230046K03Rik,Dzip1,Mid1ip1,Crmp1,,,,Jmjd1c,Kri1,Camsap2,,,Hspa5,Numa1,,Mtss1,,Lemd2,Rrnad1,Herc2,Lig3
35,Tubb3,St7,Cdk5rap2,Dnajc13,,,Kmt2e,Pknox1,Chd2,Cxxc5,,,Hba-a1,Cdk12,Kri1,Asxl2,Pou3f3,Soga3,,,,Slk,Mphosph9,Iqcb1,,,Mid1ip1,Hba-a1,,,,Ccdc41,Hyls1,Bms1,Tomm34
36,Nnat,Chd9,Cenpj,Hectd1,,,mt-Rnr1,Zfp101,Arhgef25,Rrbp1,,,Secisbp2l,Fndc3a,Ttc19,,Anp32b,Robo2,,,,Lig3,Wasf2,Poc1b,,,Alcam,Arhgap5,,,,Fsd1l,Flywch2,Mfn1,
37,Akap9,Golm1,Gkap1,St7,,,Stmn3,Tnrc6a,Map7d2,Golga5,,,E4f1,Fam120a,Cep250,,Hmgn3,,,,,Tomm34,Cep250,Fmnl2,,,Pou3f3,Rufy1,,,,Dnajc1,Hectd1,Slk,
38,Rbm25,Bdp1,Ube4b,Chd9,,,Aplp1,Map7d2,Suv420h1,Cdk12,,,Dnajc13,Camsap2,Nol8,,Gm3764,,,,,Trmt1,Magi1,5830428H23Rik,,,Anp32b,Suv420h1,,,,2210018M11Rik,Gfod2,Zfp711,
39,Ckb,Sass6,Numa1,Rrbp1,,,Tubb2a,Kri1,St7,Atad2b,,,Wasf2,Ankrd17,4933411K20Rik,,Pea15a,,,,,5830428H23Rik,Hyls1,,,,Hmgn3,Sgce,,,,Hba-a1,Sgce,,
40,Crmp1,Sox9,Vps4b,Bdp1,,,Nrxn1,A230046K03Rik,Cxxc5,Armcx4,,,Rrnad1,5830428H23Rik,Flywch2,,,,,,,,Nrcam,,,,Gm3764,Chd9,,,,Secisbp2l,Map3k7,,
41,Soga3,Tubgcp5,Dnajc13,Chga,,,Tubb3,Fam214b,Golga5,Chga,,,Cxxc5,R3hcc1,Jrkl,,,,,,,,Hectd1,,,,Pea15a,Golga5,,,,Rrnad1,Rsrc1,,
42,,Mpdz,Hectd1,Lrrn3,,,Nnat,Ercc6,Cdk12,Sass6,,,Fndc3a,Tnrc18,Ercc6,,,,,,,,Dnajc3,,,,,Cdk12,,,,Hectd1,Col11a1,,
43,,Ankib1,St7,Sass6,,,Hspa5,Suv420h1,Golm1,Ankrd17,,,Atad2b,Ankhd1,Gfod2,,,,,,,,Socs2,,,,,Ash1l,,,,Sgce,Tbl1x,,
44,,Xrcc1,Chd9,Sox9,,,Ckb,St7,Rabl2,5830428H23Rik,,,Armcx4,Rere,Bicd1,,,,,,,,Cxxc5,,,,,Mysm1,,,,B3gat1,Mysm1,,
45,,Zfp740,Tenm4,Tubgcp5,,,Cdkn1c,Cxxc5,Atad2b,Pibf1,,,Fam120a,Kitl,Jarid2,,,,,,,,Rabl2,,,,,Atad2b,,,,Mysm1,Rwdd4a,,
46,,Lrrcc1,Golm1,Mpdz,,,Dst,Ing3,Armcx4,Pinx1,,,Asun,Fam13b,Socs2,,,,,,,,Mysm1,,,,,Sass6,,,,Sass6,Sass6,,
47,,Nkain4,Bdp1,Ankib1,,,Crmp1,Rif1,Chga,Cttnbp2nl,,,Ankrd17,Draxin,Frmd4a,,,,,,,,Rwdd4a,,,,,Mpdz,,,,Tubgcp5,Wnk3,,
48,,Pde7a,Chga,Xrcc1,,,Mtss1,Arhgap12,Sass6,Blm,,,Ankib1,Smarca1,Map3k7,,,,,,,,Fndc3a,,,,,Ddx26b,,,,Swt1,D14Abb1e,,
49,,Smarca1,Sass6,Cttnbp2nl,,,Foxp1,Rsrc1,Ankrd17,A830080D01Rik,,,Jmjd1c,Pard3,Rrbp1,,,,,,,,Rragd,,,,,Blm,,,,Ankib1,Wdr60,,
50,,Cbfa2t2,Sox9,Zfp740,,,,Golga5,Fabp7,Nkain4,,,5830428H23Rik,Ubr1,Dgcr8,,,,,,,,Atad2b,,,,,Zfp740,,,,Cdh11,Ankib1,,
51,,Sirt7,Tubgcp5,Lrrcc1,,,,Cdk12,5830428H23Rik,Dvl1,,,Zfp740,A230046K03Rik,Rragd,,,,,,,,Fam120a,,,,,A830080D01Rik,,,,Pibf1,Herc2,,
52,,Tfcp2,Mpdz,Nkain4,,,,Zfp40,Pibf1,Flrt3,,,Fam13b,Ttc19,Fndc3a,,,,,,,,Asun,,,,,Pde7a,,,,Dnajc21,Mfn1,,
53,,Zfp946,Ankib1,Mest,,,,Golm1,Pinx1,Smarca1,,,A830080D01Rik,Insm1,L3mbtl3,,,,,,,,Ankrd17,,,,,AI854517,,,,Xrcc1,Zfp711,,
