Key,T1,T2,T3,T4
0_0,0.470344135329441,0.45415704398420365,0.5499711837997483,0.45682744900107997
1_0,0.4735305461711404,0.5817774654292764,0.47791203490618456,0.37713998408481614
2_0,0.4744366928067608,0.5478814489015218,0.49527476573042317,0.37474699606765227
3_0,0.4841551495115183,0.5175381179328667,0.47023587382683335,0.3984271009360018
4_0,0.556512650239348,0.5408384519882903,0.17541502152201832,0.5593142536461518
5_0,0.6801236810757733,0.6467241073895037,0.2038427336071177,0.16506433023026723
6_0,0.43395810020372344,0.4696499644203269,0.546648465038444,0.46499253312367633
7_0,0.4045470377875071,0.605807375193692,0.48285282842213506,0.393378646424672
8_0,0.40761620411321603,0.5772463995375378,0.48325608189760505,0.39230114139475636
9_0,0.38835375237845055,0.5712746687969823,0.4877402307812424,0.42415826897659675
10_0,0.49601995488097617,0.555072937007828,0.18875766076559797,0.5650271951980819
11_0,0.6400161844152754,0.6579112084779107,0.19794352142434588,0.17633518007757487
12_0,0.423873816382608,0.5391652330287844,0.48418951416416495,0.4462027347897339
13_0,0.4487743722747387,0.5184163414915918,0.5081305192417969,0.4423233438571399
14_0,0.411210441638246,0.518409845867004,0.5624194101280595,0.383793036855935
15_0,0.4436214384921199,0.5359768186545646,0.5059715422721365,0.4008093385749273
16_0,0.44422806699692585,0.4939024763701072,0.5347229211907046,0.43357402386530763
17_0,0.3151247620853802,0.5485631824942082,0.555282315492342,0.46029228927586796
18_0,0.32363226669787765,0.3639575653328714,0.4468458812707069,0.6816608977597529
19_0,0.3370800410821869,0.39002396097347414,0.22136246194106332,0.764751684878861
20_0,0.5578376625014897,0.5991248807934867,0.35924663319481914,0.2939508178450522
21_0,0.6366705101263529,0.5006534698016932,0.48276199379158896,0.22139730767114313
22_0,0.5551880719925826,0.4563106376483887,0.43775191934440877,0.4176828961724494
23_0,0.5839073477370936,0.47855505418331296,0.46728379081109156,0.36710934963654845
24_0,0.563709000500657,0.5076756829648417,0.5068047030682167,0.3043453402928352
25_0,0.5818369004863253,0.4658037074766155,0.4544415830611104,0.35448744351272954
26_0,0.5299086688217505,0.4230931463260456,0.5384822155447313,0.36247576841042495
27_0,0.45194862701368654,0.5107482841291342,0.515315027172603,0.42745283566144243
28_0,0.37076600597326176,0.541006280747518,0.5496236343726973,0.44621571733761517
29_0,0.29165404988112886,0.6778425733458254,0.49464899039496607,0.40141148260665527
30_0,0.2932117496440745,0.6462832332991454,0.5455280468036059,0.3896582495940779
31_0,0.29124589559930897,0.6083893596266532,0.546806864220489,0.45418640773354585
32_0,0.5214158015761126,0.4079440721121812,0.45250372110624265,0.4532786502159971
33_0,0.49441252841599803,0.4041523568087998,0.497779737448047,0.4607150533822065
34_0,0.5058560210340438,0.3844246607515357,0.5191765799356548,0.42444752780773104
35_0,0.6541746056606743,0.39630788332428785,0.4337756893436708,0.36748663719060376
