,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
25,Cox5a,Rps27l,Lyar,Pcna,Rps2,Pcna,Rbm39,Cox5b,Cox5b,Cox5b,Rpl10,Tmed2,P4hb,Myct1,Hells,P4hb,Cox5b,Mki67,Klf2,Osbpl1a,Cox5b,Cox5b,Tuba1b,Exoc6b,Tmed2,Tmed2,Abcb4,Sesn3,Casp4,Osbpl1a,Klf2,Ttc28
26,Hells,Rbm39,Pcna,Rbm39,Rfc2,Rbm39,Rps27l,Tmed2,Tmed2,Tmed2,Rps2,Rpl10,Cox5b,Nap1l3,Cox5b,Cox5b,Tmed2,Taok3,Osbpl1a,Msi2,Tmed2,Tmed2,Rps27l,Eid2,Rpl10,Rpl10,Tcf4,Casp4,Exoc6b,Msi2,Osbpl1a,Tox
27,P4hb,Rpl41,Rbm39,Rps27l,Lyar,Rps27l,Gpi1,Rpl10,Rpl10,Rpl10,Rfc2,Rps2,Tmed2,Slc2a3,Tmed2,Tmed2,Rpl10,Ccnb1,Msi2,Baz2b,Arpc1b,Arpc1b,Rbm39,Eva1b,Rps2,Rps2,Itgb7,Exoc6b,Syne2,Sesn3,Msi2,H2-Ob
28,Vamp5,Nop10,Rps27l,Gpi1,Pcna,Gpi1,Rpl41,Rps2,Rps2,Rps2,Hsp90b1,Rfc2,Rpl10,Adrb2,Arpc1b,Rpl10,Rps2,Hist1h4c,Sesn3,Sesn3,Rpl10,Rpl10,Rpl41,Myct1,Ftl1,Ftl1,Mki67,Syne2,Tbxas1,Fosb,Baz2b,Tmem71
29,Nt5c3,Hmgn1,Gpi1,Rpl41,Rbm39,Rpl41,Nop10,Rfc2,Rfc2,Rfc2,Lyar,Hsp90b1,Rps2,Ly75,Rpl10,Rps2,Ftl1,Cenpf,Fosb,Fosb,Rps2,Rps2,Nop10,Nap1l3,Hsp90b1,Hsp90b1,Hhex,Tbxas1,Gm20467,Casp4,Sesn3,Gm43568
30,Cox5b,Cbx3,Rpl41,Pnp,Rps27l,Nop10,Hmgn1,Hsp90b1,Hsp90b1,Hsp90b1,Pcna,Lyar,Rfc2,Tceal1,Rps2,Ftl1,Hsp90b1,Egfl7,Casp4,Casp4,Ftl1,Ftl1,Hmgn1,Pnck,Lyar,Lyar,Taok3,Gm20467,Eid2,Exoc6b,Fosb,Irf2
31,Tmed2,Eef1a1,Nop10,Hmgn1,Gpi1,Hmgn1,Cbx3,Lyar,Lyar,Lyar,Rbm39,Pcna,Hsp90b1,Pnck,Ftl1,Hsp90b1,Lyar,Nt5c3,Exoc6b,Exoc6b,Hsp90b1,Hsp90b1,Cbx3,Nrgn,Pcna,Pcna,Hist2h2aa1,Eid2,Eva1b,Syne2,Casp4,Herc3
32,Rpl10,Rps25,Hmgn1,Nop10,Rpl41,Srgn,Eef1a1,Pcna,Pcna,Pcna,Rps27l,Rbm39,Lyar,Lst1,Hsp90b1,Lyar,Pcna,Galnt6,Syne2,Syne2,Lyar,Lyar,Eef1a1,Rec8,Tuba1b,Rfc2,Ccnb1,Eva1b,Nap1l3,Gm20467,Exoc6b,Csad
33,Rps2,Rps7,Srgn,Cbx3,Pnp,Cbx3,Rps25,Rbm39,Rbm39,Rbm39,Gpi1,Rps27l,Pcna,Rec8,Lyar,Pcna,Rfc2,Ifngr1,Gm20467,Gm20467,Pcna,Pcna,Rps25,Tnfrsf18,Rfc2,Rps27l,Hist1h4c,Nap1l3,Slc2a3,Eid2,Syne2,Calcoco1
34,Rfc2,Hdgf,Cbx3,Eef1a1,Hmgn1,Eef1a1,Rps7,Rps27l,Rps27l,Rps27l,Rpl41,Gpi1,Rbm39,Snap47,Pcna,Rfc2,Rps27l,Atp8b4,Eid2,Eid2,Rfc2,Rfc2,Rps7,Nefh,Rps27l,Gpi1,AY036118,Slc2a3,Adrb2,Eva1b,Gm20467,Fam213a
