,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
65,Cd81,Eif2s2,Eif2s2,Eif2s2,Slc25a5,Eif2s2,Glrx5,Arpc1a,Eef2,Rpl32,Dut,Dut,Ubb,2610035D17Rik,Parp1,Rpl32,Rpl32,Hist1h3i,Apobr,Nkx2-3,Cox8a,Rpl39,Rps17,Tmem71,Eef2,Stmn1,Spc24,Asns,2900026A02Rik,Jund,Tie1,Maged2
66,Psmb10,Hint1,mt-Nd5,mt-Nd5,Spint2,mt-Nd5,Rps3a1,Rpl32,Dut,Eef2,Stmn1,Stmn1,Rpl32,Ctsh,Rpl39,Eef2,Eef2,Ccl9,Car2,Tie1,Parp1,Ubb,Ptma,Gm43568,Dut,Ung,Gm15915,Ttc28,Oas1c,Tie1,Flywch2,Psd3
67,H2afz,Ninj1,Hint1,Hint1,Rps17,Hint1,Shfm1,Eef2,Stmn1,Dut,Ung,Ung,Eef2,Stat4,Ubb,Dut,Dut,Tpx2,Jund,Flywch2,Rpl39,Rpl32,Eif2s2,Rnf122,Stmn1,Mif,Sdsl,H1f0,Ttc28,Nkx2-3,2900026A02Rik,Gm19590
68,Spcs2,Rpsa,Rpsa,Rpsa,Ptma,Rpsa,Ncl,Dut,Ung,Stmn1,Mif,Mif,Dut,St3gal6,Rpl32,Stmn1,Stmn1,Necap2,Tie1,2900026A02Rik,Ubb,Eef2,mt-Nd5,Herc3,Ung,Smc1a,Aspm,Bex1,Bex1,Il2rg,Oas1c,Ypel3
69,Mrpl33,Rps3a1,Ncl,Ncl,Eif2s2,Ncl,Nasp,Stmn1,Mif,Ung,Smc1a,Smc1a,Stmn1,Tmem71,Eef2,Ung,Ung,Cd37,Nkx2-3,Oas1c,Rpl32,Dut,Hint1,Bbc3,Mif,Srm,Epor,Uba7,Uba7,Samd9l,Ttc28,Il1rl1
70,Parp1,Ncl,Shfm1,Shfm1,mt-Nd5,Shfm1,Cox7b,Ung,Smc1a,Mif,Srm,Srm,Ung,Gm43568,Dut,Mif,Mif,Cd55,Il2rg,Ttc28,Eef2,Cenpv,Rpsa,Csad,Smc1a,Tmem14c,Esco2,Gabbr1,Gabbr1,Epsti1,H1f0,Il1r1
71,Cox8a,Nasp,Rps3a1,Rps3a1,Hint1,Rps3a1,C1qbp,Mif,Srm,Smc1a,Rpl12,Rpl12,Mif,Myof,Stmn1,Smc1a,Smc1a,Blvrb,Samd9l,Bex1,Dut,Stmn1,Myl6,Klhl24,Srm,Erp29,Kif11,Plscr4,Plscr4,Flywch2,Bex1,Pitpnc1
72,Etfb,C1qbp,Nasp,Nasp,Rpsa,Nasp,Calr,Smc1a,Rpl12,Srm,Ldha,Ldha,Smc1a,Rnf122,Ung,Srm,Srm,Zcchc6,Epsti1,Uba7,Cenpv,Ung,Rps3a1,Fcho2,Tmem14c,Rpl12,Bub3,Ppp1r9a,Ppp1r9a,2900026A02Rik,Uba7,Abcg1
73,Rpl39,Rps12,Cox7b,Cox7b,Icam4,Cox7b,Cox6a1,Srm,Ldha,Rpl12,Eif1,Eif1,Srm,Fcgrt,Mif,Tmem14c,Tmem14c,Smc2,Flywch2,Gabbr1,Stmn1,Mif,Rrm2,Ccl4,Erp29,Ldha,Ifi27l2a,Tox,Parp12,Oas1c,Gabbr1,Uvssa
74,Ubb,Ddx21,C1qbp,C1qbp,Ncl,C1qbp,Ddx5,Rpl12,Eif1,Ldha,Rpl9,Rpl9,Rpl12,Hmgn3,Smc1a,Erp29,Erp29,Serinc3,2900026A02Rik,Plscr4,Ung,Smc1a,Ncl,Calcoco1,Rpl12,Eif1,Adam10,2610035D17Rik,Tox,Ttc28,Plscr4,Plp2
75,Arpc1a,Fus,Calr,Cox6a1,Shfm1,Calr,Rps12,Ldha,Rpl9,Eif1,Canx,Canx,Ldha,Csad,Srm,Rpl12,Rpl12,Pdcd4,Oas1c,Ppp1r9a,Mif,Srm,Nasp,Fam213a,Ldha,Rpl9,Arhgap30,Stat4,2610035D17Rik,Bex1,Ppp1r9a,Fam84b
76,Rpl32,Ddx39,Cox6a1,Ddx5,Rps3a1,Cox6a1,Fus,Eif1,Canx,Rpl9,Slc25a5,Slc25a5,Eif1,Klhl24,Tmem14c,Ldha,Ldha,Anxa2,Ttc28,Tox,Smc1a,Tmem14c,C1qbp,Pcmtd2,Eif1,Canx,Rhoh,St3gal6,Stat4,Uba7,Tox,Zbtb16
77,Eef2,Ifitm2,Ddx5,Rps12,Nasp,Ddx5,Ddx21,Rpl9,Slc25a5,Canx,Rps17,Rps17,Rpl9,Calcoco1,Erp29,Eif1,Eif1,Gdf3,Bex1,2610035D17Rik,Srm,Erp29,Rps12,Ifitm1,Calm2,Slc25a5,Tnik,Myof,St3gal6,Gabbr1,2610035D17Rik,Rab37
78,Dut,Tubb5,Rps12,Ddx21,Cox7b,Rps12,Hnrnpa2b1,Canx,Rps17,Slc25a5,Ptma,Serp1,Canx,Fam213a,Rpl12,Rpl9,Rpl9,H2-Ob,Uba7,Stat4,Tmem14c,Rpl12,Ddx21,Bicd1,Rpl9,Rps17,Hist1h3i,Rnf122,Myof,Plscr4,Stat4,Fam73a
79,Stmn1,Hnrnpa2b1,Ddx21,Pgam1,C1qbp,Ddx21,Rpl17,Slc25a5,Serp1,Rps17,Eif2s2,Ptma,Slc25a5,Pcmtd2,Ldha,Canx,Canx,Gm2a,Gabbr1,St3gal6,Erp29,Ldha,Ddx5,Kdm6b,Canx,Serp1,Ccl9,Herc3,Rnf122,Ppp1r9a,St3gal6,Clec4e
80,Ung,Rpl17,Pgam1,Hnrnpa2b1,Calr,Pgam1,Dnmt1,Rps17,Ptma,Serp1,mt-Nd5,Eif2s2,Rps17,Ifitm1,Eif1,Slc25a5,Slc25a5,Adssl1,Plscr4,Tmem71,Rpl12,Eif1,Fus,Plxdc2,Slc25a5,Ptma,Necap2,Bbc3,Bbc3,Parp12,Tmem71,Padi4
81,Mif,Dnmt1,Hnrnpa2b1,Rpl17,Cox6a1,Hnrnpa2b1,Atpif1,Ptma,Eif2s2,Ptma,Hint1,mt-Nd5,Serp1,Bicd1,Rpl9,Rps17,Rps17,H1fx,Ppp1r9a,Gm43568,Ldha,Rpl9,Ddx39,Tmem140,Rps17,Eif2s2,Cd37,Fcgrt,Fcgrt,Tox,Gm43568,Smim6
82,Smc1a,Atpif1,Hp1bp3,Dnmt1,Ddx5,Hp1bp3,Paip2,Eif2s2,mt-Nd5,Eif2s2,Rpsa,Hint1,Ptma,Kdm6b,Malat1,Serp1,Ptma,Tnfaip2,Parp12,Myof,Eif1,Malat1,Ifitm2,Prkca,Ptma,Hint1,Tpx2,Hmgn3,Hmgn3,2610035D17Rik,Myof,Ccrl2
83,Srm,Cd47,Rpl17,Atpif1,Rps12,Rpl17,Dbi,mt-Nd5,Hint1,mt-Nd5,Prdx5,Rpsa,Eif2s2,Plxdc2,Canx,Ptma,Eif2s2,Cdc20,Tox,Rnf122,Rpl9,Canx,Pgam1,Hlf,Eif2s2,Rpsa,Rgs10,Csad,Csad,Stat4,Rnf122,Cuedc1
84,Rpl12,Tpt1,Dnmt1,Paip2,Fus,Dnmt1,Cd47,Hint1,Rpsa,Hint1,Myl6,Prdx5,mt-Nd5,Selm,Slc25a5,Eif2s2,mt-Nd5,Cd48,2610035D17Rik,Herc3,Malat1,Slc25a5,Hnrnpa2b1,0610009L18Rik,Hint1,Prdx5,Cd55,Klhl24,Klhl24,St3gal6,Herc3,P3h3
85,Ldha,Prdx1,Atpif1,Dbi,Ddx21,Atpif1,Tpt1,Rpsa,Prdx5,Rpsa,Rps3a1,Myl6,Hint1,Slfn2,Pkm,mt-Nd5,Hint1,Tuba8,Stat4,Bbc3,Canx,Pkm,Rpl17,Ccdc112,Rpsa,Myl6,Irf8,Fcho2,Fcho2,Tmem71,Bbc3,Csf1
86,Eif1,Cacybp,Paip2,Cd47,Hnrnpa2b1,Paip2,Prdx1,Prdx5,Myl6,Prdx5,Shfm1,Rps3a1,Rpsa,Tmem140,Rps17,Hint1,Rpsa,F2r,St3gal6,Fcgrt,Slc25a5,Rps17,Dnmt1,Maged1,Prdx5,Rps3a1,Blvrb,Ccl4,Ccl4,Gm43568,Fcgrt,Rufy2
87,Rpl9,Ranbp1,Dbi,Tpt1,Rpl17,Dbi,Cacybp,Myl6,Rps3a1,Myl6,Ncl,Shfm1,Prdx5,Hlf,Ptma,Rpsa,Prdx5,Ctsg,Tmem71,Hmgn3,Pkm,Ptma,Atpif1,Thap1,Myl6,Rrm2,Smc2,Calcoco1,Calcoco1,Myof,Hmgn3,Ctla2b
88,Canx,H3f3b,Cd47,Prdx1,Dnmt1,Cd47,Clspn,Rps3a1,Shfm1,Rps3a1,Nasp,Ncl,Myl6,0610009L18Rik,Eif2s2,Prdx5,Myl6,Prkar2b,Gm43568,Csad,Rps17,Eif2s2,Cd47,Hist1h2bc,Rps3a1,Shfm1,Serinc3,Fam213a,Fam213a,Rnf122,Csad,Mecom
89,Slc25a5,Ppia,Tpt1,Cacybp,Atpif1,Tpt1,Erdr1,Shfm1,Ncl,Shfm1,Cox7b,Nasp,Rps3a1,Ccdc112,mt-Nd5,Myl6,Rps3a1,Pafah1b3,Myof,Klhl24,Ptma,mt-Nd5,Tpt1,Hoxb4,Rrm2,Nasp,Pdcd4,Pcmtd2,Pcmtd2,Bbc3,Klhl24,Fam69b
90,Spint2,Rps21,Prdx1,Ctsz,Paip2,Prdx1,Ranbp1,Ncl,Nasp,Ncl,C1qbp,Cox7b,Shfm1,Maged1,Hint1,Rps3a1,Rrm2,Clec4d,Rnf122,Fcho2,Eif2s2,Hint1,Prdx1,Erg,Shfm1,Ncl,Anxa2,Ifitm1,Ifitm1,Fcgrt,Fcho2,Mta3
91,Rps17,Ran,Cacybp,Erdr1,Tbrg1,Cacybp,Rps21,Nasp,Cox7b,Nasp,Calr,C1qbp,Ncl,Hebp1,Rpsa,Rrm2,Shfm1,Tubb4b,Bbc3,Ccl4,mt-Nd5,Rpsa,Cacybp,Kalrn,Nasp,Cox7b,Gdf3,Bicd1,Bicd1,Hmgn3,Ccl4,Rab6b
92,Ptma,Hmgb1,Ctsz,Ranbp1,Dbi,Ctsz,Ppia,Cox7b,C1qbp,Cox7b,Hmgn2,Calr,Nasp,Dusp1,Alad,Shfm1,Nasp,Cdca8,Fcgrt,Calcoco1,Hint1,Alad,Clspn,Aplp2,Ncl,C1qbp,H2-Ob,Kdm6b,Kdm6b,Csad,Calcoco1,Art4
93,Eif2s2,Nap1l1,Erdr1,Rps21,Cd47,Erdr1,Ran,C1qbp,Calr,C1qbp,Cox6a1,Hmgn2,Cox7b,Cd24a,Prdx5,Nasp,Ncl,Pbx1,Hmgn3,Fam213a,Rpsa,Prdx5,Ranbp1,Notch2,Cox7b,Hmgn2,Gm2a,Plxdc2,Plxdc2,Klhl24,Fam213a,Myo1c
94,mt-Nd5,Pa2g4,Ranbp1,Ppia,Tpt1,Ranbp1,Sec61b,Calr,Hmgn2,Hmgn2,Ddx5,Cox6a1,C1qbp,Marcks,Myl6,Ncl,Cox7b,Gm11697,Csad,Pcmtd2,Alad,Myl6,H3f3b,Upp1,C1qbp,Cox6a1,Adssl1,Selm,Selm,Fcho2,Pcmtd2,Gpr171
95,Tubb4b,Rps4x,Rps21,Ran,Prdx1,Rps21,Gatm,Hmgn2,Cox6a1,Cox6a1,Rps12,Ddx5,Hmgn2,Bcl3,Glrx5,Cox7b,C1qbp,Sell,Klhl24,Ifitm1,Prdx5,Glrx5,Ppia,Ctnnal1,Hmgn2,Rps12,H1fx,Slfn2,Slfn2,Ccl4,Ifitm1,Procr
96,Samsn1,Serbp1,Ppia,Sec61b,Cacybp,Ppia,Nap1l1,Cox6a1,Ddx5,Ddx5,Fus,Rps12,Cox6a1,Hoxb4,Rps3a1,C1qbp,Hmgn2,Tacstd2,Fcho2,Kdm6b,Myl6,Rps3a1,Rps21,Gng11,Cox6a1,Ddx21,Tnfaip2,Tmem140,Tmem140,Calcoco1,Kdm6b,Lpp
97,Hint1,Ppdpf,Ran,Nap1l1,Clspn,Ran,Pa2g4,Ddx5,Rps12,Rps12,Ddx39,Fus,Ddx5,Erg,Rrm2,Hmgn2,Cox6a1,Gp5,Ccl4,Plxdc2,Glrx5,Rrm2,Ran,Impact,Rps12,Fus,Cdc20,Hlf,Hlf,Fam213a,Plxdc2,Gimap6
98,Rpsa,Rpl21,Sec61b,Pa2g4,Erdr1,Sec61b,Rps4x,Rps12,Fus,Fus,Ifitm2,Ddx39,Rps12,Cldn15,Shfm1,Cox6a1,Rps12,Fam46a,Calcoco1,Selm,Rps3a1,Shfm1,Hmgb1,Dusp6,Ddx21,Ddx39,Cd48,0610009L18Rik,0610009L18Rik,Pcmtd2,Selm,Ssbp2
99,Icam4,Rpl22l1,Nap1l1,Rps4x,Ranbp1,Nap1l1,Serbp1,Fus,Ddx39,Ddx39,Ddx21,Ifitm2,Fus,Ttc39b,Nasp,Rps12,Ddx21,Lat,Fam213a,Slfn2,Rrm2,Nasp,Nap1l1,Cul9,Fus,Ifitm2,Tuba8,Ccdc112,Ccdc112,Ifitm1,Slfn2,Cd84
100,Prdx5,Gpx4,Pa2g4,Serbp1,Ap3s1,Pa2g4,Rpl21,Ddx39,Ifitm2,Ifitm2,Ddost,Ddx21,Ddx39,Fam134b,Ncl,Ddx21,Ddx5,Hist1h1a,Pcmtd2,Tmem140,Shfm1,Ncl,Pa2g4,Pcgf2,Ddx39,Crip1,F2r,Maged1,Maged1,Kdm6b,Tmem140,Tns1
101,Myl6,mt-Co1,Rps4x,Rpl21,Rps21,Rps4x,Rpl22l1,Ifitm2,Ddx21,Ddx21,Pdia6,Ddost,Ifitm2,Aplp2,Cox7b,Ddx5,Fus,Cd53,Ifitm1,Hlf,Nasp,Cox7b,Rps4x,Tnfsf10,Ifitm2,Ddost,Ctsg,Kdm5b,Dusp1,Plxdc2,Hlf,Padi2
102,Rps3a1,mt-Nd2,Serbp1,Rpl22l1,Ppia,Serbp1,Gpx4,Ddx21,Ddost,Ddost,Hnrnpa2b1,Pdia6,Ddx21,Ctnnal1,C1qbp,Fus,Ddx39,Icam4,Kdm6b,0610009L18Rik,Ncl,C1qbp,Serbp1,Gm16141,Crip1,Pdia6,Prkar2b,Dusp1,Sytl1,Selm,0610009L18Rik,Casp12
103,Shfm1,Psip1,Rpl21,Gpx4,Ran,Rpl21,mt-Co1,Ddost,Pdia6,Pdia6,Lamp1,Hnrnpa2b1,Ddost,Upp1,Hmgn2,Ddx39,Crip1,Slco3a1,Plxdc2,Ccdc112,Cox7b,Hmgn2,Serf2,Msmo1,Ddost,Cyba,Pafah1b3,Sytl1,Thap1,Slfn2,Ccdc112,Il12a
104,Ncl,Rpl30,Rpl22l1,mt-Co1,Sec61b,Rpl22l1,mt-Nd2,Pdia6,Hnrnpa2b1,Hnrnpa2b1,Rpl17,Lamp1,Pdia6,Gng11,Cox6a1,Crip1,Ifitm2,Slc38a5,Selm,Maged1,C1qbp,Cox6a1,Rpl21,Ccdc171,Pdia6,Hnrnpa2b1,Clec4d,Thap1,Bcl3,Tmem140,Maged1,1500009L16Rik
105,Nasp,H2afy,Gpx4,mt-Nd2,Zfpm1,Gpx4,Rpl30,Hnrnpa2b1,Lamp1,Lamp1,Dnmt1,Rpl17,Hnrnpa2b1,Impact,Rps12,Ifitm2,Ddost,Fut7,Slfn2,Dusp1,Hmgn2,Rps12,Rpl22l1,Plxna4os1,Cyba,Lamp1,Tubb4b,Bcl3,Hist1h2bc,Hlf,Dusp1,Rbpms
106,Cox7b,Erh,mt-Co1,Rpl30,Nap1l1,mt-Co1,Psip1,Lamp1,Rpl17,Rpl17,Atpif1,Dnmt1,Lamp1,Ppic,Ddx21,Ddost,Pdia6,Ugcg,Tmem140,Sytl1,Cox6a1,Ddx21,Gpx4,Nceh1,Hnrnpa2b1,Rpl17,Cdca8,Hist1h2bc,Hoxb4,0610009L18Rik,Sytl1,Hoxa9
107,C1qbp,Rpl10a,mt-Nd2,Psip1,Pa2g4,mt-Nd2,Mbnl1,Rpl17,Dnmt1,Dnmt1,Paip2,Atpif1,Rpl17,Cul9,Ddx5,Pdia6,Cyba,Birc5,Hlf,Bcl3,Rps12,Ddx5,mt-Co1,Sgms1,Lamp1,Dnmt1,Gm11697,Hoxb4,Erg,Ccdc112,Bcl3,Cish
108,Calr,Mcm3,Rpl30,Erh,Rps4x,Rpl30,Erh,Dnmt1,Atpif1,Atpif1,Dbi,Paip2,Dnmt1,Gm16141,Fus,Cyba,Hnrnpa2b1,Tespa1,0610009L18Rik,Hist1h2bc,Ddx21,Fus,Tspo,H2-Q6,Rpl17,Atpif1,Sell,Erg,Ttc39b,Maged1,Hist1h2bc,Asph
109,Hmgn2,Hspd1,Psip1,Rpl10a,Serbp1,Psip1,Rpl10a,Atpif1,Paip2,Paip2,Cd47,Dbi,Atpif1,Zfp467,Ddx39,Hnrnpa2b1,Rpl17,Mpo,Ccdc112,Hoxb4,Ddx5,Ddx39,mt-Nd2,Ppp2r3a,Dnmt1,Paip2,Tacstd2,Ttc39b,Aplp2,Dusp1,Hoxb4,Ggt5
110,Cox6a1,Psme1,Mbnl1,Mcm3,Rpl21,Mbnl1,Mcm3,Paip2,Dbi,Dbi,Tpt1,Cd47,Paip2,Msmo1,Crip1,Rpl17,Dnmt1,Cdkn3,Maged1,Erg,Fus,Crip1,Psip1,Cyp2j6,Atpif1,Dbi,Gp5,Kalrn,Notch2,Sytl1,Erg,Dennd5b
111,Ddx5,mt-Nd1,Erh,Hspd1,Rpl22l1,Erh,Hspd1,Tbrg1,Cd47,Cd47,Ostc,Tpt1,Dbi,Prmt2,Ifitm2,Dnmt1,Atpif1,Hist1h1b,Dusp1,Ttc39b,Ddx39,Ifitm2,Rpl30,Vgll4,Paip2,Cd47,Fam46a,Aplp2,Upp1,Bcl3,Ttc39b,Myct1
112,Rps12,Anp32e,Rpl10a,Psme1,Gpx4,Rpl10a,Psme1,Dbi,Tpt1,Tpt1,Prdx1,Ostc,Cd47,Serpinf1,Ddost,Atpif1,Paip2,Tgfbr3,Sytl1,Aplp2,Crip1,Ddost,Dynll1,Ube2l6,Dbi,Tpt1,Hist1h1a,Notch2,Ctnnal1,Hist1h2bc,Aplp2,Galnt6
113,Fus,Npm1,Mcm3,mt-Nd1,mt-Co1,Mcm3,mt-Nd1,Cd47,Ostc,Ostc,Cacybp,Prdx1,Tpt1,Gda,Pdia6,Paip2,Dbi,Casc5,Bcl3,Ctnnal1,Ifitm2,Pdia6,Erh,Pdzk1ip1,Cd47,Ostc,Cd53,Upp1,Gng11,Hoxb4,Ctnnal1,Sox4
114,Ddx39,Rps5,Hspd1,Npm1,mt-Nd2,Hspd1,Npm1,Tpt1,Prdx1,Prdx1,Kdelr2,Cacybp,Ostc,Glul,Cyba,Dbi,Cd47,Ankrd12,Hist1h2bc,Upp1,Ddost,Cyba,Rpl10a,Mdfi,Tpt1,Prdx1,Tifab,Ctnnal1,Impact,Erg,Upp1,Snap47
115,Ifitm2,Gmnn,Psme1,Rps5,Rpl30,Psme1,Rps5,Ostc,Cacybp,Cacybp,Dnajc3,Kdelr2,Prdx1,Ccdc171,Hnrnpa2b1,Cd47,Tpt1,Kif23,Hoxb4,Gng11,Pdia6,Hnrnpa2b1,Mcm3,Irgm2,Ostc,Kdelr2,Icam4,Gng11,Ppic,Ttc39b,Gng11,Itm2a
116,Ddx21,Actg1,mt-Nd1,Gmnn,H2afy,mt-Nd1,Gmnn,Prdx1,Kdelr2,Kdelr2,Clspn,Dnajc3,Cacybp,Plxna4os1,Ubac1,Tpt1,Ostc,Diaph1,Erg,Impact,Cyba,Ubac1,Hspd1,Adck3,Prdx1,Dnajc3,Slco3a1,Impact,Dusp6,Aplp2,Impact,Chd3
117,Ddost,Lig1,Npm1,Rpn1,Psip1,Npm1,Rpn1,Cacybp,Dnajc3,Dnajc3,Erdr1,Clspn,Kdelr2,Nceh1,Rpl17,Ostc,Prdx1,Mef2c,Ttc39b,Dusp6,Hnrnpa2b1,Rpl17,Psme1,Trove2,Kdelr2,Cacybp,Slc38a5,Ppic,Cul9,Ctnnal1,Dusp6,Csrp3
118,Pdia6,Rplp1,Rps5,Lig1,Erh,Rps5,Mrpl52,Kdelr2,Clspn,Clspn,Ranbp1,Ctsz,Dnajc3,Ier3,Dnmt1,Prdx1,Kdelr2,Hist1h2ap,Aplp2,Cul9,Ubac1,Dnmt1,mt-Nd1,Rgs1,Dnajc3,Clspn,Fut7,Dusp6,Pcgf2,Upp1,Cul9,Lag3
119,Tubb5,Rexo2,Gmnn,Rplp1,Rpl10a,Gmnn,Lig1,Dnajc3,Ctsz,Ctsz,H3f3b,Erdr1,Clspn,Sgms1,Atpif1,Kdelr2,Cacybp,Top2a,Ctnnal1,Pcgf2,Rpl17,Atpif1,Anp32e,Rgag4,Cacybp,Ctsz,Ugcg,Cul9,Tnfsf10,Gng11,Pcgf2,Dennd1c
120,Hnrnpa2b1,Alyref,Rpn1,Rexo2,Mcm3,Rpn1,Rplp1,Clspn,Erdr1,Erdr1,Rps21,Ranbp1,Ctsz,B4galt6,Paip2,Cacybp,Clspn,Xpc,Upp1,Tnfsf10,Dnmt1,Paip2,Npm1,Sgce,Clspn,Erdr1,S100a1,Pcgf2,Gm16141,Impact,Tnfsf10,Sdsl
121,Lamp1,Ybx3,Mrpl52,Alyref,Hspd1,Mrpl52,Rexo2,Erdr1,Ranbp1,Ranbp1,Ppia,H3f3b,Erdr1,Pla2g12a,Dbi,Clspn,Erdr1,Ptpre,Gng11,Gm16141,Atpif1,Dbi,Rps5,Cnrip1,Erdr1,Ranbp1,Birc5,Tnfsf10,Carhsp1,Dusp6,Gm16141,Car2
122,Rpl17,Sepw1,Lig1,Ybx3,Psme1,Lig1,Alyref,Ranbp1,H3f3b,H3f3b,Ran,Rps21,Ranbp1,Ppp2r3a,Cd47,Ctsz,Ranbp1,Spc25,Impact,Zfp467,Paip2,Cd47,Gmnn,Ptrf,Ranbp1,H3f3b,Tespa1,Gm16141,Zfp467,Cul9,Zfp467,H1f0
123,Dnmt1,Rps14,Rplp1,Rps14,mt-Nd1,Rplp1,Ybx3,H3f3b,Rps21,Rps21,Sec61b,Ppia,H3f3b,Cyp2j6,Tpt1,Erdr1,H3f3b,Prc1,Dusp6,Msmo1,Dbi,Tpt1,Actg1,Parp11,H3f3b,Ppia,Ms4a6c,Zfp467,Msmo1,Pcgf2,Msmo1,Ppp1r9a
124,Atpif1,Bst2,Hmgb3,Rpl23,Npm1,Rexo2,Rps14,Rps21,Ppia,Ppia,Gatm,Ran,Rps21,Nfkbia,Ostc,Ranbp1,Ppia,Nucb2,Cul9,Prmt2,Cd47,Ostc,Lig1,S1pr1,Ppia,Rps21,Mpo,Msmo1,Prmt2,Tnfsf10,Prmt2,2610035D17Rik
125,Paip2,Rpl23,Rexo2,Dek,Rps5,Alyref,Rpl23,Ppia,Ran,Ran,Hmgb1,Sec61b,Ppia,Ldhb,Prdx1,H3f3b,Rps21,Lpcat2,Pcgf2,Gda,Tpt1,Prdx1,Cst3,Maml2,Rps21,Ran,Cdkn3,Prmt2,C3,Gm16141,Plxnc1,Stat4
126,Tbrg1,Clic1,Alyref,Rps8,Gmnn,Ybx3,Dek,Ran,Sec61b,Sec61b,Nap1l1,Gatm,Ran,Pdzk1ip1,Kdelr2,Ppia,Ran,Hdac7,Tnfsf10,Glul,Ostc,Kdelr2,Rplp1,Mast4,Ran,Sec61b,Hist1h1b,C3,Gda,Carhsp1,Gda,H1fx
127,Dbi,Dek,Ybx3,Cycs,Rpn1,Rps14,Rps8,Sec61b,Gatm,Hmgb1,Pa2g4,Hmgb1,Sec61b,Mdfi,Cacybp,Rps21,Sec61b,Plek,Gm16141,Ccdc171,Prdx1,Cacybp,Rexo2,Emcn,Sec61b,Hmgb1,Casc5,Gda,Glul,Zfp467,Glul,Arid1b
128,Cd47,Rps8,Rps14,Capza2,Lig1,Rpl23,Cycs,Gatm,Hmgb1,Nap1l1,Rps4x,Nap1l1,Gatm,Adck3,Clspn,Ran,Hmgb1,Gna14,Zfp467,Plxna4os1,Kdelr2,Clspn,Atrx,Hdgfrp3,Hmgb1,Nap1l1,Ankrd12,Glul,Ccdc171,Msmo1,Ccdc171,Tmem140
129,Tpt1,Cycs,Rpl23,Atp5g1,Rplp1,Dek,Atp5g1,Hmgb1,Nap1l1,Pa2g4,Serbp1,Pa2g4,Hmgb1,Trove2,Erdr1,Sec61b,Nap1l1,C1galt1,Msmo1,Nceh1,Cacybp,Erdr1,Alyref,Rbp1,Nap1l1,Pa2g4,Kif23,Ccdc171,Plxna4os1,Prmt2,Plxna4os1,Prkca
130,Ostc,Capza2,Dek,Atp5o,Hmgb3,Rps8,Atp5o,Nap1l1,Pa2g4,Rps4x,Ppdpf,Rps4x,Nap1l1,Fam212a,Ranbp1,Hmgb1,Pa2g4,Tm6sf1,Prmt2,Sgms1,Clspn,Ranbp1,Ybx3,Dst,Pa2g4,Rps4x,Diaph1,Plxna4os1,Trp53i11,Gda,Nceh1,Zfp36l1
131,Prdx1,Atp5g1,Rps8,Dctpp1,Npc2,Cycs,Dctpp1,Pa2g4,Rps4x,Serbp1,Serf2,Serbp1,Pa2g4,Sgce,H3f3b,Nap1l1,Rps4x,Lockd,Gda,H2-Q6,Erdr1,H3f3b,Sepw1,Letm2,Rps4x,Serbp1,Chd2,Nceh1,Nceh1,Glul,Sgms1,Slco3a1
132,Cacybp,Dctpp1,Cycs,Dnaja1,Rexo2,Capza2,Dnaja1,Rps4x,Serbp1,Serf2,Rpl21,Serf2,Rps4x,Cnrip1,Ppia,Pa2g4,Serbp1,Treml1,Glul,B4galt6,Ranbp1,Ppia,Rps14,1700040L02Rik,Serbp1,Serf2,Hist1h2ap,Ier3,Sgms1,Ccdc171,H2-Q6,Hoxb4
133,Kdelr2,Dnaja1,Capza2,Hspa8,Alyref,Atp5g1,Ifi47,Serbp1,Serf2,Rpl21,Rpl22l1,Rpl21,Serbp1,Arhgef12,Rps21,Rps4x,Serf2,Gp9,Ccdc171,Cyp2j6,H3f3b,Rps21,Rpl23,Gimap5,Serf2,Rpl21,Top2a,Sgms1,H2-Q6,Plxna4os1,B4galt6,Tespa1
